uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1643651898","31 Jan 2022, 17:58","Public Enemy","","Fear Of A Black Planet (Deluxe Edition)","","911 Is a Joke","060ee249-c690-3b16-8c5e-d5ec575962b8"
"1643651799","31 Jan 2022, 17:56","Public Enemy","","It Takes A Nation Of Millions To Hold Us Back (Deluxe Edition)","","Caught, Can We Get a Witness?","0de8a2e5-6a09-3405-80cf-ddea5894b1cc"
"1643651653","31 Jan 2022, 17:54","Public Enemy","","It Takes A Nation Of Millions To Hold Us Back (Deluxe Edition)","","Caught, Can We Get a Witness?","0de8a2e5-6a09-3405-80cf-ddea5894b1cc"
"1643651506","31 Jan 2022, 17:51","Public Enemy","","It Takes A Nation Of Millions To Hold Us Back (Deluxe Edition)","","Louder Than a Bomb","09dfb5b0-25f3-305e-bd45-d050aa6a247f"
"1643651398","31 Jan 2022, 17:49","Public Enemy","","It Takes A Nation Of Millions To Hold Us Back (Deluxe Edition)","","Louder Than a Bomb","09dfb5b0-25f3-305e-bd45-d050aa6a247f"
"1643651289","31 Jan 2022, 17:48","Public Enemy","","It Takes A Nation Of Millions To Hold Us Back (Deluxe Edition)","","Terminator X to the Edge of Panic","05900a36-014c-3d9b-9335-b911901545a2"
"1643651153","31 Jan 2022, 17:45","Public Enemy","","It Takes A Nation Of Millions To Hold Us Back (Deluxe Edition)","","Terminator X to the Edge of Panic","05900a36-014c-3d9b-9335-b911901545a2"
"1643651017","31 Jan 2022, 17:43","Public Enemy","","It Takes A Nation Of Millions To Hold Us Back (Deluxe Edition)","","Don't Believe the Hype","010a2d98-30a6-3bd0-aaab-94d977d3c1a0"
"1643650858","31 Jan 2022, 17:40","Public Enemy","","It Takes A Nation Of Millions To Hold Us Back (Deluxe Edition)","","Don't Believe the Hype","010a2d98-30a6-3bd0-aaab-94d977d3c1a0"
"1643650698","31 Jan 2022, 17:38","Public Enemy","","It Takes A Nation Of Millions To Hold Us Back (Deluxe Edition)","","Bring the Noise","011308b8-bc16-366f-90c5-90bc5c503d51"
"1643650585","31 Jan 2022, 17:36","Public Enemy","","It Takes A Nation Of Millions To Hold Us Back (Deluxe Edition)","","Bring the Noise","011308b8-bc16-366f-90c5-90bc5c503d51"
"1643650472","31 Jan 2022, 17:34","Public Enemy","","It Takes A Nation Of Millions To Hold Us Back (Deluxe Edition)","","Prophets of Rage","0034f0d9-56bf-3ef5-a6b8-e69b6c2c8a2c"
"1643650372","31 Jan 2022, 17:32","Public Enemy","","It Takes A Nation Of Millions To Hold Us Back (Deluxe Edition)","","Prophets of Rage","0034f0d9-56bf-3ef5-a6b8-e69b6c2c8a2c"
"1643650273","31 Jan 2022, 17:31","Public Enemy","","It Takes A Nation Of Millions To Hold Us Back (Deluxe Edition)","","Rebel Without a Pause","04dc821b-c272-36dd-96d5-b4c49ce9b266"
"1643650121","31 Jan 2022, 17:28","Public Enemy","","It Takes A Nation Of Millions To Hold Us Back (Deluxe Edition)","","Rebel Without a Pause","04dc821b-c272-36dd-96d5-b4c49ce9b266"
"1643649970","31 Jan 2022, 17:26","Public Enemy","","It Takes A Nation Of Millions To Hold Us Back (Deluxe Edition)","","Night of the Living Baseheads","00d7f4fa-3546-443b-af28-b977e4845f7b"
"1643649873","31 Jan 2022, 17:24","Public Enemy","","It Takes A Nation Of Millions To Hold Us Back (Deluxe Edition)","","Night of the Living Baseheads","00d7f4fa-3546-443b-af28-b977e4845f7b"
"1643649776","31 Jan 2022, 17:22","Public Enemy","","It Takes A Nation Of Millions To Hold Us Back (Deluxe Edition)","","She Watch Channel Zero?!","0a40aa67-d74d-31ff-a334-b92c97a9df0a"
"1643649661","31 Jan 2022, 17:21","Public Enemy","","It Takes A Nation Of Millions To Hold Us Back (Deluxe Edition)","","She Watch Channel Zero?!","0a40aa67-d74d-31ff-a334-b92c97a9df0a"
"1643649423","31 Jan 2022, 17:17","Public Enemy","","POWER TO THE PEOPLE AND THE BEATS - Public Enemy's Greatest Hits","","By the Time I Get to Arizona","08c39db9-d594-4e13-98a5-54ac84c3adee"
"1643649302","31 Jan 2022, 17:15","Public Enemy","","POWER TO THE PEOPLE AND THE BEATS - Public Enemy's Greatest Hits","","By the Time I Get to Arizona","08c39db9-d594-4e13-98a5-54ac84c3adee"
"1643649287","31 Jan 2022, 17:14","The Cult","ad93cd58-cca9-4dbe-8b4c-64e74f203b86","Love","0a51651f-eda7-4326-aebb-ffc9f59ddc94","She Sells Sanctuary","0225043f-ae46-4001-a342-d567e39b5627"
"1643648618","31 Jan 2022, 17:03","The Cult","ad93cd58-cca9-4dbe-8b4c-64e74f203b86","Love","0a51651f-eda7-4326-aebb-ffc9f59ddc94","She Sells Sanctuary","0225043f-ae46-4001-a342-d567e39b5627"
"1643648491","31 Jan 2022, 17:01","The Cure","69ee3720-a7cb-4402-b48d-a02c366f2bcf","Bestival Live 2011","3276c099-b530-41dc-bcb6-9b1ebed03cb9","Fascination Street (Bestival Live 2011)",""
"1643648341","31 Jan 2022, 16:59","The Cure","69ee3720-a7cb-4402-b48d-a02c366f2bcf","Bestival Live 2011","3276c099-b530-41dc-bcb6-9b1ebed03cb9","Fascination Street (Bestival Live 2011)",""
"1643648192","31 Jan 2022, 16:56","Pixies","","Live from Music Midtown, Atlanta, GA. June 11th, 2005","","Monkey Gone to Heaven - Live from Music Midtown, Atlanta, GA. June 11th, 2005",""
"1643648106","31 Jan 2022, 16:55","Pixies","","Live from Music Midtown, Atlanta, GA. June 11th, 2005","","Monkey Gone to Heaven - Live from Music Midtown, Atlanta, GA. June 11th, 2005",""
"1643648021","31 Jan 2022, 16:53","Soundgarden","","Badmotorfinger (25th Anniversary Remaster)","","Rusty Cage - Remastered",""
"1643647888","31 Jan 2022, 16:51","Soundgarden","","Badmotorfinger (25th Anniversary Remaster)","","Rusty Cage - Remastered",""
"1643647754","31 Jan 2022, 16:49","The Smiths","","The Queen Is Dead","0fcc367d-af66-49ee-b7b0-8351a91e04c0","The Boy with the Thorn in His Side - 2011 Remaster",""
"1643647656","31 Jan 2022, 16:47","The Smiths","","The Queen Is Dead","0fcc367d-af66-49ee-b7b0-8351a91e04c0","The Boy with the Thorn in His Side - 2011 Remaster",""
"1643647558","31 Jan 2022, 16:45","U2","","The Joshua Tree (Super Deluxe)","","Where The Streets Have No Name - Remastered",""
"1643647160","31 Jan 2022, 16:39","New Order","","Technique","01681b1d-3068-3689-b879-efefde1f7b3b","Vanishing Point - 2015 Remaster",""
"1643646986","31 Jan 2022, 16:36","New Order","","Technique","01681b1d-3068-3689-b879-efefde1f7b3b","Vanishing Point - 2015 Remaster",""
"1643646786","31 Jan 2022, 16:33","R.E.M.","","And I Feel Fine.....The Best Of The IRS Years 82-87 Collector's Edition","","Radio Free Europe - 2006 Remaster",""
"1643646663","31 Jan 2022, 16:31","R.E.M.","","And I Feel Fine.....The Best Of The IRS Years 82-87 Collector's Edition","","Radio Free Europe - 2006 Remaster",""
"1643646526","31 Jan 2022, 16:28","James","","Laid","3b0efac9-5f5f-4d89-a179-8cfdbc84c9ba","Laid","005b9c6b-936d-437e-b856-9ea4322ac3a1"
"1643646448","31 Jan 2022, 16:27","James","","Laid","3b0efac9-5f5f-4d89-a179-8cfdbc84c9ba","Laid","005b9c6b-936d-437e-b856-9ea4322ac3a1"
"1643646370","31 Jan 2022, 16:26","U2","a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432","Achtung Baby (Deluxe Edition)","0ff822f3-5834-482f-a520-519b11ecffb3","Until the End of the World","000a15ee-fc5f-350d-b55b-91b18c07d91f"
"1643646228","31 Jan 2022, 16:23","U2","a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432","Achtung Baby (Deluxe Edition)","0ff822f3-5834-482f-a520-519b11ecffb3","Until the End of the World","000a15ee-fc5f-350d-b55b-91b18c07d91f"
"1643645995","31 Jan 2022, 16:19","The Jesus and Mary Chain","e938a15c-b17e-4e7a-9f68-ff0d536cab44","Darklands (Expanded Version)","","April Skies","0047c89d-ace6-4493-9524-eb041d4c63e0"
"1643645873","31 Jan 2022, 16:17","The Jesus and Mary Chain","e938a15c-b17e-4e7a-9f68-ff0d536cab44","Darklands (Expanded Version)","","April Skies","0047c89d-ace6-4493-9524-eb041d4c63e0"
"1643645725","31 Jan 2022, 16:15","R.E.M.","","Green (Remastered)","","Pop Song 89 - Remastered",""
"1643645633","31 Jan 2022, 16:13","R.E.M.","","Green (Remastered)","","Pop Song 89 - Remastered",""
"1643645541","31 Jan 2022, 16:12","Oasis","","Definitely Maybe (Deluxe Edition Remastered)","","Live Forever - Remastered",""
"1643645402","31 Jan 2022, 16:10","Oasis","","Definitely Maybe (Deluxe Edition Remastered)","","Live Forever - Remastered",""
"1643645182","31 Jan 2022, 16:06","INXS","481bf5f9-2e7c-4c44-b08a-05b32bc7c00d","Kick","0486ced7-a674-4497-9d93-d7271206d519","Mediate","01d34bf4-f5be-4fe1-bc30-01b21a0daaf4"
"1643645104","31 Jan 2022, 16:05","INXS","481bf5f9-2e7c-4c44-b08a-05b32bc7c00d","Kick","0486ced7-a674-4497-9d93-d7271206d519","Mediate","01d34bf4-f5be-4fe1-bc30-01b21a0daaf4"
"1643644790","31 Jan 2022, 15:59","The Cure","69ee3720-a7cb-4402-b48d-a02c366f2bcf","The Head on the Door","0cd3c289-84d5-4330-9292-a66081d2db6c","Push","0367faa7-2dfb-4e5a-b7be-5626aac8644e"
"1643644500","31 Jan 2022, 15:55","Depeche Mode","8538e728-ca0b-4321-b7e5-cff6565dd4c0","101 (Live At Pasadena Rose Bowl, June 18, 1988)","","Blasphemous Rumours (live)","3d41f2ab-8070-3ee8-a6d9-a837657ea99d"
"1643644168","31 Jan 2022, 15:49","The Cure","69ee3720-a7cb-4402-b48d-a02c366f2bcf","Seventeen Seconds (Deluxe Edition)","4f950c86-e9f9-4f7a-8574-5f8c1078533e","A Forest","0072bac0-9c54-4ffe-a76f-35217b6b215b"
"1643643864","31 Jan 2022, 15:44","Depeche Mode","8538e728-ca0b-4321-b7e5-cff6565dd4c0","The Best of Depeche Mode, Vol. 1 (Deluxe Version)","","Enjoy the Silence","00141b04-c8e6-31d9-909b-954aafb95214"
"1643643589","31 Jan 2022, 15:39","Sonic Youth","5cbef01b-cc35-4f52-af7b-d0df0c4f61b9","Rather Ripped","00697ed6-0810-4bc6-a329-86758c2ed38b","Incinerate","252c1504-2567-4433-b574-9b61328ca521"
"1643643352","31 Jan 2022, 15:35","The Cure","69ee3720-a7cb-4402-b48d-a02c366f2bcf","Three Imaginary Boys (Deluxe Edition)","7b826a49-b9ea-40c6-bea3-57108447cb03","Jumping Someone Else's Train","000dc170-d141-3df4-b1d2-761d634cb2eb"
"1643643165","31 Jan 2022, 15:32","Siouxsie & The Banshees","","The Rapture (Remastered / Expanded)","","Stargazer","00912e13-f1cc-3d03-9598-f4a230cc2581"
"1643642862","31 Jan 2022, 15:27","The Smiths","40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27","Complete","05545ca5-8416-4c5f-b736-043a3244e4fa","How Soon Is Now?","0030074d-47f1-3148-962f-d31e779ad91a"
"1643642534","31 Jan 2022, 15:22","New Order","f1106b17-dcbb-45f6-b938-199ccfab50cc","iTunes Originals: New Order","","Regret","00cb9c67-7422-4d9b-8d67-3e8a89db0ad6"
"1643642263","31 Jan 2022, 15:17","Depeche Mode","8538e728-ca0b-4321-b7e5-cff6565dd4c0","Violator (Bonus Track Version)","","Policy of Truth","0631a889-c245-4fee-a647-b5bbe1486662"
"1643641969","31 Jan 2022, 15:12","The Cure","69ee3720-a7cb-4402-b48d-a02c366f2bcf","Greatest Hits","062a6588-d0cb-42a9-945e-fe0a0ba3725f","A Forest","0072bac0-9c54-4ffe-a76f-35217b6b215b"
"1643641598","31 Jan 2022, 15:06","The Cure","69ee3720-a7cb-4402-b48d-a02c366f2bcf","Disintegration (Deluxe Edition - Remastered)","","Pictures of You","0150576b-5ac0-31dd-920f-efd52a3ed535"
"1643641285","31 Jan 2022, 15:01","Pixies","b6b2bb8d-54a9-491f-9607-7b546023b433","Doolittle","23110964-78bd-3b19-80e4-e99ef96f79cb","Monkey Gone to Heaven","01f89189-01b6-4d6a-b540-d6107dc5eccb"
"1643641197","31 Jan 2022, 14:59","New Order","f1106b17-dcbb-45f6-b938-199ccfab50cc","Power, Corruption & Lies","002ac904-c483-4155-8952-1b283aded393","Leave Me Alone","04907ebf-48bd-338c-9d9b-112e68c1bf90"
"1643640385","31 Jan 2022, 14:46","New Order","f1106b17-dcbb-45f6-b938-199ccfab50cc","Power, Corruption & Lies","002ac904-c483-4155-8952-1b283aded393","Leave Me Alone","04907ebf-48bd-338c-9d9b-112e68c1bf90"
"1643640111","31 Jan 2022, 14:41","INXS","481bf5f9-2e7c-4c44-b08a-05b32bc7c00d","Shabooh Shoobah","20617bcd-68e0-45fd-9edf-3558ffea1001","Don't Change","031d83cf-79be-4ec4-a1af-c8323de75d48"
"1643639881","31 Jan 2022, 14:38","The Cure","69ee3720-a7cb-4402-b48d-a02c366f2bcf","Kiss Me, Kiss Me, Kiss Me","03a3acfb-67ee-3353-a3f9-65a1af3a626e","Why Can't I Be You?","00677ea9-31c4-3e0d-9112-3c6ec340d142"
"1643639661","31 Jan 2022, 14:34","Depeche Mode","8538e728-ca0b-4321-b7e5-cff6565dd4c0","Playing the Angel","1a98a5c1-d369-43a9-83e9-894078c9e58d","Precious","0b77e01e-eef6-3e1e-b237-bbc6bc1e1a38"
"1643639420","31 Jan 2022, 14:30","Pixies","b6b2bb8d-54a9-491f-9607-7b546023b433","Surfer Rosa (Remastered)","","Where Is My Mind?","0821d583-170e-30be-9ce4-0f07d998c5f1"
"1643639160","31 Jan 2022, 14:26","Pixies","b6b2bb8d-54a9-491f-9607-7b546023b433","Surfer Rosa (Remastered)","","Gigantic","00c1726a-45cb-33de-96c6-54ef89b0612d"
"1643599600","31 Jan 2022, 03:26","Red Hot Chili Peppers","","Mother's Milk","117727ff-850f-4e7e-afd4-0bb95739eb41","Higher Ground (Remaster 2003)",""
"1643599425","31 Jan 2022, 03:23","The Jesus and Mary Chain","e938a15c-b17e-4e7a-9f68-ff0d536cab44","Honey's Dead","06f1873c-9859-4770-aa89-9f3391fa4601","Far Gone and Out","0171b25c-5c34-3267-8fb4-9c3f7b1f3fae"
"1643578822","30 Jan 2022, 21:40","The Cure","69ee3720-a7cb-4402-b48d-a02c366f2bcf","Kiss Me, Kiss Me, Kiss Me","03a3acfb-67ee-3353-a3f9-65a1af3a626e","All I Want","12101033-0388-3bdb-896f-5349eec6805e"
"1643578500","30 Jan 2022, 21:35","The Cure","69ee3720-a7cb-4402-b48d-a02c366f2bcf","Kiss Me, Kiss Me, Kiss Me","03a3acfb-67ee-3353-a3f9-65a1af3a626e","Just Like Heaven","012e64d6-39ad-445f-904c-0040ed8c0d99"
"1643578287","30 Jan 2022, 21:31","The Cure","69ee3720-a7cb-4402-b48d-a02c366f2bcf","Kiss Me, Kiss Me, Kiss Me","03a3acfb-67ee-3353-a3f9-65a1af3a626e","The Snakepit","1f5553f3-c938-4b1a-9a33-e992eb8f945e"
"1643577868","30 Jan 2022, 21:24","The Cure","69ee3720-a7cb-4402-b48d-a02c366f2bcf","Kiss Me, Kiss Me, Kiss Me","03a3acfb-67ee-3353-a3f9-65a1af3a626e","How Beautiful You Are","1d15c813-930d-4a1b-a395-163e9b338471"
"1643577554","30 Jan 2022, 21:19","The Cure","69ee3720-a7cb-4402-b48d-a02c366f2bcf","Kiss Me, Kiss Me, Kiss Me","03a3acfb-67ee-3353-a3f9-65a1af3a626e","Why Can't I Be You?","00677ea9-31c4-3e0d-9112-3c6ec340d142"
"1643577360","30 Jan 2022, 21:16","The Cure","69ee3720-a7cb-4402-b48d-a02c366f2bcf","Kiss Me, Kiss Me, Kiss Me","03a3acfb-67ee-3353-a3f9-65a1af3a626e","If Only Tonight We Could Sleep?","02222a7b-dd72-4ef2-9003-43dd3cadffed"
"1643577067","30 Jan 2022, 21:11","The Cure","69ee3720-a7cb-4402-b48d-a02c366f2bcf","Kiss Me, Kiss Me, Kiss Me","03a3acfb-67ee-3353-a3f9-65a1af3a626e","Torture","06292ec5-5898-4430-9483-b4cd44df1baa"
"1643576808","30 Jan 2022, 21:06","The Cure","69ee3720-a7cb-4402-b48d-a02c366f2bcf","Kiss Me, Kiss Me, Kiss Me","03a3acfb-67ee-3353-a3f9-65a1af3a626e","Catch","0226fc3b-09c6-331c-a1b0-4faaa7961ed3"
"1643565011","30 Jan 2022, 17:50","The Cure","69ee3720-a7cb-4402-b48d-a02c366f2bcf","Festival Live","","Us Or Them","04f69cce-11cd-3400-8f75-175734e6f5bc"
"1643564768","30 Jan 2022, 17:46","The Cure","69ee3720-a7cb-4402-b48d-a02c366f2bcf","Festival Live","","Shake Dog Shake","023455ba-e016-34c5-8840-0c8a65d567c9"
"1643564436","30 Jan 2022, 17:40","The Cure","69ee3720-a7cb-4402-b48d-a02c366f2bcf","Festival Live","","The End of the World","006aeded-0176-472c-b922-7c4d93abd444"
"1643564220","30 Jan 2022, 17:37","The Cure","69ee3720-a7cb-4402-b48d-a02c366f2bcf","Festival Live","","A Night Like This","010b9c86-52c1-4b17-a09b-8aff928048ed"
"1643563983","30 Jan 2022, 17:33","The Cure","69ee3720-a7cb-4402-b48d-a02c366f2bcf","Festival Live","","The Blood","015d195a-16ee-30f7-b902-785b87548004"
"1643563744","30 Jan 2022, 17:29","The Cure","69ee3720-a7cb-4402-b48d-a02c366f2bcf","Festival Live","","alt.end","05c7a1a5-1d92-4ac2-a2af-132c91ec9f02"
"1643563469","30 Jan 2022, 17:24","The Cure","69ee3720-a7cb-4402-b48d-a02c366f2bcf","Festival Live","","Fascination Street","0025bebb-97cb-34eb-b540-21f867935e81"
